Wisatawan Lokal,Review,Nama Tempat
False,"Sangat tidak recomended, bayar registrasi 2kali, ngecamp semalam bayar parkir 3 kali",Pantai Kasap
True,Niceee😍,Pantai Kasap
True,"the beautiful place with some space, theres no such people came when I visit last week (umm weekdays)

coming for enjoying sunset out there, what a nice  view we got, just only pay 5k to the lighthouse,
and the parking side is only 10k, so this place so very very interesting with worthy place.

but the toilet, I cant find it just right here, the maps said there are toilets, but for some reason I barely cant find it.

the access is beautiful, the narrow road but so damn well with the good quality asphalt. BUT, there no city light hahahah, its very important to check your vehicle's lamp if you plan to visit here for enjoying sunset!",Pantai Kasap
False,bagus htm nya beda ya? karena bayar 2x,Pantai Kasap
True,Pantai bersih dan nyaman banyak tersedia rumah makan dan fasilitas penginapan,Pantai Kasap
True,Bagus,Pantai Kasap
False,Indah,Pantai Kasap
True,Raja ampatnya pacitan. Pemandangan dr atas bukit indah sekali. Kesini pas bulan ramadhan jadi ga antri dan ga rame kalau mau foto2 di atas. Untuk naik ke atas menara kayu dikenai HTM 5000.,Pantai Kasap
True,👍👍👍,Pantai Kasap
True,"Pemandangannya bagus, tapi untuk aku kerasa panas banget. Spot fotonya juga panas banget nggak ada tempat berteduh. Untuk naik ke puncak kasapnya (untuk foto) bayar 10rb. Untuk tiket masuknya aku kurang tau karena kesana waktu itu nggak di tarik karcis/ tiket sama sekali pdhal libur lebaran dan aku bawa sepeda motor. Atau mungkin karna aku gapake helm dan gabawa tas hihi (ditaruh di penginapan) 😀 Dari parkiran ke pantai jalan tapi nggak begitu jauh dan jalannya pun bagus udah paving. Disana juga ada wisata kali cokel sepertinya bagus tapi waktu itu nggak nyoba karna baru dari sungai maron",Pantai Kasap
True,"Pemandangan nya bagussssssss bangetttt, pokoknya yg mau ke sini ga usah ragu². Tapi jalannya lumayan jauh dr parkiran",Pantai Kasap
True,"Tempatnya bagusss, penuh perjuangan buat kesini, ati2 maps nya keputus ditengah jalan, harus tanya warga sekitar, untung orang situ baik2 semua.  jadi di anterin sampai penginapan🙏🏻🙏🏻",Pantai Kasap
True,"Pantai Kasap, dengan sebutan Raja ampatnya Pacitan.
Ya memang begitulah kenyataannya walau tak seindah Raja Ampat tapi setidaknya gugusan pulau yang terlihat dari atas bukit pantai kasap ini cukup indah dan terlihat mirip dengan pulau di Raja Ampat Papua....
Untuk wilayah berpasirnya memang tidak begitu luas , tapi jangan khawatir karena Spot menariknya Ketika anda mendaki bukit di kiri dan kanan dari pantai Kasap tersebut.....
Dari atas Anda juga bisa menikmati Sunset ketika Senja sedang cerah dan menampakkan Horizon kuning kemerahan yang begitu eksotis, bukit tersebut juga bisa jadi lokasi favorit hunting foto atau berselfie.... 😊",Pantai Kasap
False,"Viewnya oke
Ombaknya besar, rawan kalau berenang di laut",Pantai Kasap
False,"Catatan;
1. Mau masuk bayar 10k. Baik ke p watu karung/kasap. Program dr pemkot.
2. Masuk p. kasap bayar lagi 5k. Progam dr pemdes. (Klo ke pantai lain ditarik 10k doang. Udah ini fasilitasnya kurang diperhatikan)
3. Parkir motor 3k. Pdhal dipantai lain cuma bayar tiket masuk doang.
4. Kamar mandi 3k. (Itupun fasilitas buruk. Dan lokasinya depan pantai pula. Kacanya kecil). Beda jauh dgn fasilatas di pantai pangasan yg jln menntang tp kamar mandi bagus. Ada musholla juga bagus pula. Di pantai pidakan fasilitas kamar mandi bagus. Ada kaca besar untuk cewek.
5. jalan ke arah pantai terlalu jauh. Belum diaspal pula.
6. Warung2 belum tertata seperti di p srau. Pdahal pantainya bagus.
7. Jln raya menuju pantainya udah diaspal. Bagus. Sayang masuk pantainya jln kaki.
8. Semoga pengelola pantai kasap lebih memperhatikan lagi. Pdhl pantai ini udah terkenal.
9. Sepot foto di atas bukit. Dewasa 5k. Kecil 3k.
10. Di bagian kali cokel penataannya kurang bagus.",Pantai Kasap
True,King ampat jawa🍃,Pantai Kasap
False,Atiati diputerin sm mapsnya tp dr berjm jm lmnya ktmu juga pntai cantik,Pantai Kasap
True,"Salah satu pantai di Pacitan dengan pasir yg bener bener masih alami dan bersih banget. Masih jarang banget orang berkunjung ke pantai ini. Kebetulan ke sini pas pagi pagi. Bener bener dapet pemandangan dan udara yg nyegerin pokoknya. Berasa pantai private, milik sendiri ngga sih 😄 Jangan lupa kalo ke sini disempetin beli ikan bakar, enakk banget pokoknya",Pantai Kasap
False,Saya kasih info buat yang mau ke pantai kasap dan belum tau jalurnya digoogle maps jangan langsung ditulis ke pantai kasap tapi ke pantai watu karung dulu nanti baru ke pantai kasap. Soalnya kalo langsung ditulis ke pantai kasap jalurnya ga sesuai. Untuk pantainya bagus indah pasirnya bersih bisa buat renang tapi tetap hati-hati jajanan juga murah.,Pantai Kasap
False,Indah...,Pantai Kasap
True,Raja Ampat nya Pacitan,Pantai Kasap
True,"Gokil raja amapatnya pacitan keren bgtt, pemerintah setempat harus gencar buat promosi wisata pacitan biar makin maju dan lebih ramai di lirik wisata lokal ataupun asing",Pantai Kasap
True,Lebih baik pakai motor kl kesini,Pantai Kasap
False,Raja ampat Pacitan,Pantai Kasap
True,"Magnificent view.. lots of good food around and fresh coconuts.
You can also hop on small boat to wander around the river.",Pantai Kasap
True,cocok buat camp,Pantai Kasap
True,pokoke gak kalah indah sm raja ampat...🥰👍👏👌,Pantai Kasap
False,"Bersil, bagus, banyak penginapan yang bagus di sekitar sana.",Pantai Kasap
False,Pantai kasap tidak mengecewakan,Pantai Kasap
False,Pertama x kunjung''di pantai sni'perjalanany luar bisa'''''pemdanganya bgus di sore hari msh ramae'...,Pantai Kasap
True,"Pantainya bagus dan banyak spot buat foto
Pantainya juga luas
👍👍👍",Pantai Kasap
False,Kalo maps menunjukan jalan belok kiri trus naik trus jalanya jelek mending puter balik aja cari jalan lain bahaya soalnya,Pantai Kasap
True,"Pantainya baguss banyak karangnya, ada spot foto juga......",Pantai Kasap
True,"Akses jalan udah bagus banget, pantai juga indah cuman kesiangan aja nyampek sini..panas banget ya tuhan, yang haus haus boleh dicoba minum es kelapa muda bisa didapat mulai harga 8-12rb saja..akses toilet juga bersih parkiran luas cocok untuk liburan bersama keluarga",Pantai Kasap
False,Papat good,Pantai Kasap
True,"Pantai Pagi Raja Ampat-nya Jawa Timur

Tertarik kesini lantaran tagline raja Ampat-nya Jawa Timur.. semakin kaget karena berada satu Area dengan Waktu Karung dan Kali Cokel.. so lengkap sudah..

Untuk mencapai sini, mudah aja.. Ketik Pantai Wato Karung.. lho? rute utamanya sama.. bahkan sebelum belok ke arah Kasap kita bayar tiket masuk Watu Karung..

Kondisi jalan jauh lebih bagus.. lebih halus walau naik turun dan lebih lebar (sudah dilebarin drpd saat saya ke Watu Karung beberapa tahun lalu). So.. gak bakalan tersesat lah

Setelah tiket counter.. ada pertigaan.. ambil arah kiri (belok kiri) ikuti jalur tersebut (sama dengan jalur ke Kali Cokel) .. sampai area parkir.

Lalu ambil jalur ke arah pantai.. jalan kaki.. gak lama.. gak naik turun juga.. sampai bibir pantai.. Saya ambil yang sisi timur..

berjalan di bibir pantai enak juga.. nyaman juga.. desiran angin laut bikin ngantuk.. apalagi banyak juga pepohonan yang menjulang.. capek jalan.. banyak disediakan tempat duduk kayu dibibir pantai.. atau masuk aja ke warung penduduk lokal yang banyak berdiri..

Disini ada 2 pilihan bukit pantai sebelah timur dan Barat..

ke arah timur.. ada vegetasi pepohonan menjulang.. dan hamparan rumput hijau.. pas nih buat piknik.. gelar tikar dan makan siang..

bila mau melihat Panorama Raja Ampat.. naik ke pondokan atas bukit.. ikuti jalan setapak dibukit.. tidak berbahaya dan tidak terjal juga.. semua bisa naik.. cuma jangan terlalu minggir karena tidak ada pagar pengaman di bibir jurang.

sampai diatas.. silahkan tenggok arah barat .. gugusan pulau karang bak Raja Ampat mini.. disinilah spot foto favorit pengunjung..

Nah..

bosan disini .. silahkan turuni bukit lalu lanjut ke bukit sisi Barat.. ini yang saya tidak sempat mencoba lantaran keburu waktu.. dan sudah sore..

Saran:
oiya.. lebih baik saat pagi hari saja saat berkunjung.. karena melihat kontur wilayah .. ini jenis pantai pagi.. kalau ambil saat siang atau sore.. sinar mentari bikin backlight dan cenderung ke hitaman (bayangan) jadi kurang cantik.. Kalau sore.. atau senja sunset.. kurang paham dah..

Piknik kayaknya jauh lebih segar diarea hamparan rumput disebelah timur.. lumayan luas.. bisa buat area bermain anak-anak.

well.. demikian yang bisa saya share.. selamat berkunjung dan semoga bermanfaat..",Pantai Kasap
False,"The best , kalo bisa buat masuknya jangan kebanyakan dari mulai kabupaten, desa, parkiran",Pantai Kasap
True,One of the best beach I’ve visited,Pantai Kasap
True,"Ketiga kalinya kesini, banyak perubahan yg sllu memikat wisatawan utk datang.. apalagi penjaga tiket/crew yg bertugas dibukit ramah dan memberitau/mengarahkan spot² foto yg baik.. selain itu ada fotografer yg siap membantu kita utk foto² dgn kamera digitalnya..",Pantai Kasap
True,"Best place to catch sunset 🌅
Cheap but amazingly beautiful 🤩

Follow my ig: indarwati22 for more travel inspiration",Pantai Kasap
False,Perjalanan yang pnjang dan berkelok terbayar lunas sama pemandangan yang ada disini sih 😘,Pantai Kasap
False,Sangat bagus,Pantai Kasap
True,"Sering Kesini,Cocok Buat Refreshing Sejenak Dari Pekerjaan 😁😊",Pantai Kasap
False,"Ok,",Pantai Kasap
True,"Pantai terbaik untuk menikmati sunset di Pacitan. Akses juga tidak terlalu sulit.
Untuk pintu masuknya sama dengan pantai watu karung tapi ke arah pantai kasap ambil arah sebelah kiri, setelah melewati jembatan nanti akan ketemu tempat parkir untuk mobil. Pantai kasap satu area dengan pantai bercak. Waktu terbaik ke sini adalah sore hari jam 4 (waktu sunset)",Pantai Kasap
True,"KW RAJA AMPAT Pacitaaan . Terbayae kn keindahaaan nyaa
Tenang damai ayeeem ws pokok (((ＵωＵ｀ *)(* ´ＵωＵ)))(^_^;)))",Pantai Kasap
True,Pantai Bagus bgt,Pantai Kasap
True,Pemandangannya cantik banget 😍,Pantai Kasap
True,Gak tau mau omong apa,Pantai Kasap
True,Akses jalan ga susah. View the best. Warung makannya jg enak,Pantai Kasap
True,Tempat Asik Bersih ..jajanan makan Masih Murah Pasir Putih,Pantai Kasap
True,"Sabtu, 18 Februari 2023
Pertama kali kesini, pas cuacanya cerah banget. Al hasil pemandangannya biru, hijau nan cantik. Tapi ya gitu, dari jalan utara ke arah pantai ini lumayan jauh, harus menerobos kelok-kelok jalanan dan naik turunnya. Tenang aja, capeknya perjalanan akan terasa hilang jika disuguhkan pemandangan alam yang indah ini. Silahkan, coba sendiri kesana.",Pantai Kasap
True,"Sering lewat sini tapi nggak ngeh ternyata pantainya tersembunyi
Jalan kaki 150-200m dari tempat parkir
Pantainya MasyaAllah sungguh indah
Sepanjang pantai Kasap banyak tempat duduk juga dan tentunya warung2 makan
Tapi sayangnya kemarin nyari mushola didekat pantai tidak ada, ada mushola tapi sudah dekat dengan parkiran
Mohon bisa ditambah mushola untuk dekat pantai biar dekatt",Pantai Kasap
True,"Pemandangannya indah banget, seperti di raja Ampat katanya... karena belum ke raja Ampat..",Pantai Kasap
True,"Akses mudah, htm murah, viewnya amazing 😳",Pantai Kasap
True,Perjalanan jauh terbayar dengan keindahan pantai yg masih sepi dan bagus...😁,Pantai Kasap
True,Pantainya indah elok,Pantai Kasap
False,Pantai yg cantik untuk akses kesini lumyan bagus,Pantai Kasap
True,My trip my adventure,Pantai Kasap
False,"Pantai selatan tiada duanya, pasir putih, ada juga ""gubug"" bagus di ujungnya",Pantai Kasap
True,"Ombaknya bagus, view juga bagus",Pantai Kasap
True,Ga rugii ke pantai kasap dg perjalanan 45 menit dan jalan yang aduhai kalo pantainya cakep kayak gitu... belum banyak pengunjung jd lebih nyaman tuk bermain aer.. sukses buat pacitan... lebih berkembang lagi pariwisatanya🥰,Pantai Kasap
True,"htm 10.000 / orang
parkir 3.000 / motor",Pantai Kasap
True,"indah, makanan jg standart harganya. yg suka susur sungai bisa sekalian di kali cokel.",Pantai Kasap
True,"Alami, ngangeni",Pantai Kasap
False,Sangat indah untuk  diulang lagi.,Pantai Kasap
True,"Pantai yg eksotik, raja ampatnya jawa. Apik banget, keindahan alami yg wajib dikunjungi.",Pantai Kasap
True,tempat dengan keindahan yg menakjubkan tenang asri desiran ombak yg berbisik membuat takjub,Pantai Kasap
True,Sangat cantik,Pantai Kasap
True,Serasa di Raja Ampat nya Jawa timur,Pantai Kasap
True,"Raja Ampat-nya Pacitan!!! Keren bgt, tracking dri pantai ke tebing spot foto sekitar 10menit, biaya sekali naik ke spot foto Rp. 5000 sudah ada warung juga diatas dan harganya juga affordable bgt. Pokoknya nice experience di Pantai Kasap😍",Pantai Kasap
True,"pantai yang indah, spot foto berbayar, terdapat pulau batu karang yang menjadi icon pantai ini",Pantai Kasap
True,The beach is very relaxing. The sand is white with rocks. The view of the waves and the breeze is so gud. There is a pine garden on the edge equipped with seats to enjoy the beach. Can also bring carpet.,Pantai Kasap
True,"Jujur awal pesimis karena dengar julukan Raja Ampatnya Pacitan, tapi setelah sampai, wuih worth banget viewnya, ampun DJ, sumpah tercengan pokoknya, apalahgi pas bawa Drone, bagi yang punya Drone harus fix 100% shot disini, pulau2nya sanagt bagus untuk fotografi maupun videografi",Pantai Kasap
True,Pantainya bersih dan bagus. Cocok untuk menenangkan diri.,Pantai Kasap
False,Walopun jauh tp setelah sampai senang dgn keindahan lautnya.,Pantai Kasap
False,"Sangat puas sekali, perjalanan dari jabar hingga Jawa Timur sekitar 15 jam, itu dalm kecepatan 100km per jam, dan di bahagiakan oleh keindahan alam atau lautan yang begitu bening airnya",Pantai Kasap
False,"Pantai yang indah, mirip negeri dongeng",Pantai Kasap
True,Keren buat tempat foto,Pantai Kasap
True,"Pantai yg indah buanget. Ombak besar, warna air yg biru, hamparan pasir yg putih adalah pesona pantai Kasap. Kita bs menikmati ombak di tepi pantai. Jg bisa naik ke bukit yg di htm 5k per orang. Nah, dari atas ini kita bisa lihat mini raja ampat versi jawa.

Wisata ini satu area dg kali cokel. Jadi sungainya ini herannya meskipun musim hujan dan bahkan waktu itu hujan, airnya tetep warna hijau, sensasi sungai Aare versi Jawa. Menyusuri sungai hingga masuk ke kawasan laut dikit bikin deg2an dg ombaknya, naik perahu 20k per orang.

Jalan menuju pantai ini sebenarnya jalan beraspal, tp ttp berkelok2 kanan kiri jurang. Saran kalo ke sini jgn terlalu percaya sama g maps mending tanya² org sekitar atau ikuti petunjuk jalan.",Pantai Kasap
False,"cocok menjadi salah satu tujuan destinasi saat akhir pekan , di jamin takjub akan ke indahan pantai kasap",Pantai Kasap
True,"Pantai kasapnya kurang begitu bagus, masih bagusan pantai klayar. Skip aja pantai kasapnya fokus liat gugusan pulaunya

But, gugusan pulaunya Bener bener raja ampat van java. Serius bagus bgt. Btw ini jadi satu sama kali cokel. Jadi aku saranin liat gugusan pulaunya dulu ya baru ke kali cokel naik perahu basah basahan
Oh ya tarif tambahan untuk naik liat gugusan pulaunya bayar 5000 per orang yaa pada bulan oktober 2022",Pantai Kasap
True,Pasirnya putih pantainya menyenangkan sgt cocok utk keluarga parkirnya luas area wisatanya sungguh2 jozz,Pantai Kasap
True,Nice,Pantai Kasap
True,"Akses mobil kesana sudah ada, jalan sudah beraspal walaupun kecil. Ada parkiran juga untuk mobil/motor. Untuk ke pantainya harus jalan kaki, tiket masuk 10 ribu/orang.

Pantainya pas kesana kotor, banyak sampah. Tapi ada fasilitas lain yang bisa dipake buat spot foto, semacam tower gitu. Keatas bayar 5 ribu.

Sayang pas kesana gerimis, jadi ga bisa explore banyak waktu kesana.
Ada 2 pantai, pantai kasap (belok kiri dari pintu masuk) dan belok kanan (lupa namanya 😂)",Pantai Kasap
True,Bagussss banget,Pantai Kasap
True,Pantainya bagus sekali,Pantai Kasap
True,"pas kesini cuaca lg ga bagus, mendung pekat kaya mau badai huhu blm sempet explore udh turun lagi krna takut kejebak hujan diatas. fyi diatas agak jauh dari warung/tmpt penitipan kendaraan jd kalau kejebak hujan diatas agak ngeri ya mau turunnya.. yakin sih kalo cerah pasti bagus banget. belum rezeki, next time agendakan lagii",Pantai Kasap
True,Pantai raja ampatnya pacitan,Pantai Kasap
True,"Tempatnya bersih, bibir pantai tidak terlalu panjang, dari parkir ke area ppantai tidak jauh, banyak penginapan di areal pantai",Pantai Kasap
True,"Pantainya dengan pemandangan indah, cocok untuk loburan dengan keluarga,",Pantai Kasap
True,Keren,Pantai Kasap
True,Indan dan memanjakan mata,Pantai Kasap
False,"Tempatnya sangat indah,,,cocok untuk liburan keluarga dan teman teman",Pantai Kasap
True,"Pemandangannya bagus. Retribusi masuk ke pantai kasap & kali cokel @10rb, belum termasuk parkir kendaraan bermotor dan naik  ke spot foto di di atas tebing dan naik perahu di kali cokel @20rb",Pantai Kasap
True,"Bagus pantainya. Bersih, makanannya enak2, banyak penginapan bagus dan murah juga. Sangat ramah utk anak2 dan keluarga. Bisa naik ke bukitnya juga.",Pantai Kasap
True,"Asik , bagus view-nya semoga ada rejeki bisa kesini lagi",Pantai Kasap
True,Seneng naik perahunya,Pantai Kasap
True,"Pantai yg paling nyaman buat jln2, suasananya enak, tp jgn pas panas2 nya",Pantai Kasap
True,"Keren.. perjalanan jauh, terbayar dengan pemandangan laut yg menakjubkan, banyak warung kopi untuk tempat istirahat.. keluar pantai Kasap, ada tempat2 bersandar perahu2 buat menyusuri sungai Cokel dgn tarif yg murah @20rb dan tembus ke laut, bisa foto2 di laut dgn background pulau2 di sekitar pantai Kasap 🥰😍",Pantai Kasap
False,Bagus,Pantai Kasap
False,Kurangnya adalah signal tidak merata kalau bukan simpati jangan harap bisa internetan,Pantai Kasap
True,"Katanya sih ini Raja Ampatnya Pulau Jawa, bagus memang foto dari atas",Pantai Kasap
True,Mantap. bisa naik perahu juga gaes,Pantai Kasap
False,nyaman,Pantai Kasap
False,Pantai yang sangat indah raja ampat nya pacitan,Pantai Kasap
True,"Pantai Kasap adalah salah satu pantai favorit dan masih sangat alami di Kabupaten Pacitan.
Alamat pantai Kasap terletak di Desa Watukarung, Dusun Ketro, Kecamatan Pringkuku, Kabupaten Pacitan, Jawa Timur.
Pantai Kasap memiliki pemandangan yang mirip dengan salah satu pantai di Indonesia yang sangat populer yaitu Pantai Raja Ampat yang ada di Papua.
Daya tarik pantai ini bukan dari pasir putih dengan ombak atau ombak-nya, tetapi pemandangan bukit-bukit dengan hamparan laut Samudra Hindia yang luas.",Pantai Kasap
True,Bagusssss,Pantai Kasap
True,Pantai yg indah,Pantai Kasap
True,"Pantai kasap termasuk salah satu hidden place paradise di Pacitan yang well-recommended sekali. Pantai kasap sering disebut juga Raja Ampatnya Pacitan, untuk menuju ke bukit itu kita harus jalan kaki sampai diatas bukit, capek but worth it kok! Biaya masuknya 5rb per/orang.",Pantai Kasap
True,Jos sayang parkir mobil jauh,Pantai Kasap
True,"What a beautiful beach !!! ♡♡♡
You only need to pay ten Rp 10.000, you will get a double beautiful beach! watukarung and kasap beach.
Enjoy and have fun♡",Pantai Kasap
True,Lumayan bagus,Pantai Kasap
True,Pemandangan dari bukit indah bgt di lihat dari pantai kasap,Pantai Kasap
False,Lebih mirip tanah lot guys...tpi suka banget,Pantai Kasap
True,Mantap gan hanya saja waktu yang mendesak sehingga tidak bisa melihat dengan puas.,Pantai Kasap
True,Area Pacitan + Arek Pacitan pancen ngangeni😁😁,Pantai Kasap
True,"Lokasi Wisata yg cukup bagus buat Liburan pribadi maupun keluarga, ada banyak lokasi yg berdekatan di sini",Pantai Kasap
True,Semoga tetap terawat dan diberikan tempat sampah,Pantai Kasap
True,"Kerennnn pollll rekkk,pantaine",Pantai Kasap
True,"Naik ke atas puncak capek tapi seru,
Tiba diatas terbayarkan dengan pemandangan yang sangat indah sekali 😍",Pantai Kasap
True,"Pemandangan luar biasa, dari sini kita bisa melihat ""gugusan pulau"" seperti di raja ampat. Disini juga tersedia perahu yang bisa disewa untuk menjelajahi sungai.",Pantai Kasap
False,Tidak sia sia datang kesini,Pantai Kasap
False,Pacitan jos,Pantai Kasap
True,Mantap,Pantai Kasap
True,Pantai raja Ampat kw 1,Pantai Kasap
True,"Melihat langsung keindahan alam, yang katanya duplikatnya raja ampat.",Pantai Kasap
True,"Tiba dijam 11 siang, meski cuaca panas tapi hembusan angin lautnya sungguh menyejukkan hati yg sedang haluuuu 😅😅😅",Pantai Kasap
True,"Udah 2 kali kesini, yang pertama tahun 2019 yang kedua tahun 2021. bagus pemandangannya tapi harus jalan cukup jauh.",Pantai Kasap
True,"Pertama kalinya datang kesini dan sangat terkagum dengan keindahan Pantai Kasap😍😍
2,5 jam perjalanan motor dari Solo sampai di Pantai Kasap.
Dengan tiket seharga Rp 10.000,00/orang, kita bisa masuk ke area Pantai Kasap dan Pantai Watu Karung.
Jalan menuju pantai memang naik turun dan terjal, dan ada beberapa lokasi terdapat aspal yang mengelupas. Hati-hati.
Untuk yang datang dengan rombongan bus, bisa turun di pantai Klayar, lalu naik angkot atau ojek untuk menuju Pantai Kasap atau Watu Karung.
Selamat mencoba😍",Pantai Kasap
True,Pantai dengan pemandangan batu karang.. masuk membayar parkir motor 3000dan kalau mau naik kebukit kasap mbayar 5000tiap org,Pantai Kasap
True,Raja Ampatnya Pacitan,Pantai Kasap
False,"Salah satu pantai terindah di Pacitan, kesana jam 6 pagi masih sepi, area pantai dan perkampungannya bersih, yg paling favorit ada tempat untuk foto diatas tebing 💖",Pantai Kasap
False,Keren abiss,Pantai Kasap
True,"Wonderful beach and cheap ticketing, there are boat tourisme",Pantai Kasap
True,"Harga tiket masuknya murah. Terjangkau untuk semua kalangan. Untuk fasilitas juga lengkap baik kamar mandi umum dan juga tempat sholat. Pemandangan pantainya sangat indah. Pantas saja di sebut raja ampatnya pacitan.  Belum lagi di sekitar pantai kasap terdapat sungai maron yg jernih airnya, ada beberapa perahu yg bisa di sewa untuk menelusuri panjangnya sungai maron dengan pemandangan di sepanjang jalurnya banyak pepohonan kelapa yg menambah estetik suasana liburan",Pantai Kasap
True,"Salah satu pantai yang ada di pacitan dg.vibes spt.raja ampat..utk.bisa foto dengan latar belakang spt.raja ampat harus naik tangga dulu dari kayu dan antri krn.hrs.di batasi 25 orang saja secara bergantian, anginnya lumayan besar. Mungkin alangkah baiknya klu.tangga dari kayu tsb.bisa di ganti dengan tangga dari besi agar lebih kuat.",Pantai Kasap
False,"Setiap pantai dipacitan punya tekstur pasir beda-beda, wisata pantai kasap bisa sekalian naik perahu di kali cokel, karna datangnya weekday penjual banyak yang tutup, banyak spot foto yang bagus, kalau jalan kearah kiri nemu pantai lagi dan lebih bagus dari pantai kasap. Perjalanannya bakal kebayar sama pemandangannya tapi tetap hati-hati dan pastikan kendaraan dalam kondisi baik soalnya tanjakan dan kaya obat nyamuk jalannya",Pantai Kasap
False,"Pantai bagus, parkir di spot kali cokel",Pantai Kasap
True,"Tempatnya bagus banget, bersih, mantap lah buat managementnya",Pantai Kasap
True,Ga usah jauh-jauh ke Raja Ampat di sini (Pacitan) juga ada 👍👍👍😍,Pantai Kasap
True,"Pemandangan alam yang indah, raja ampat jawa",Pantai Kasap
True,Pantainya bagus bersih belum begitu terjamah recommended buat liburan,Pantai Kasap
True,Keren,Pantai Kasap
True,Top,Pantai Kasap
True,"Akses menuju lokasi mudah
Tiket masuk ekonomis
Banyak warung Makan enak murah
Banyak homestay dekat pantai
Bahkan ada yg view nya langsung menghadap pantai
Terhubung dengan wisata susur sungai cokel dengan harga tiket perahu per org 20rb
Dekat dengan  pantai watu karung",Pantai Kasap
True,"berjarak kurang lebih 1 jam dari pusat kabupaten pacitan, pantai kasap memiliki pesona keindahannya sendiri. jalan menuju pantai sudah bagus dan sangat mudah dilalui baik oleh motor maupun mobil. pintu masuk jadi 1 dengan wisata pantai watu karung. dari tempat parkir jalannya tidak terlalu jauh, tidak sampai 1 kilo sudah mencapai bibir pantai. di sepanjang jalan menuju pantai banyak warung yg menjual makanan dan minuman ( tapi kalo sore diatas jam 4 sudah pada tutup ) . bisa digunakan untuk camping juga. jika beruntung bisa melihat sunset dari pantai kasap",Pantai Kasap
True,Amazing view from top..we can see many rock n another beach..this place called replica of raja ampat.. That was boat tour near this place to enjoy the beautiful river..,Pantai Kasap
False,"Outing sama rekan kerja,suasananya & pemandangan TOP BGT recomend pokoke buat liburan",Pantai Kasap
False,perjalanan ke lokasi terbayarkan dengan keindahan yg di suguhkan,Pantai Kasap
True,Mantaaap,Pantai Kasap
True,"Puasss sama pemandangannya yang indah... Jalan yang d lewati menuju pantai kasap memang terjal dan bikin degdegan,,, tapi semua itu terbayarkan dengan pemandangan yang Maha Indah 😍😍 Real Raja Ampat Van Java 💙",Pantai Kasap
True,Masih asri seperti 4 tahun yang lalu,Pantai Kasap
True,"Indah dan ramai, seperti pantai raja Ampat",Pantai Kasap
True,sangat bagus,Pantai Kasap
True,"Enak banget dipake buat ngecamp karena ada beberapa titik yang ada pohon sehingga angin bisa terhalang kalau bangun tenda.

Cocok banget kalo kamu mau buat story karena dari Pantai Kasap udah dibuka untuk akses ke beberapa pantai yang ada di sebelahnya. (25/06/22)",Pantai Kasap
True,Pantai kasap mantab,Pantai Kasap
True,bagusss,Pantai Kasap
False,Perjalanan yang melelahkan tarbayar dengan keindahan alamnya,Pantai Kasap
True,Nyaman,Pantai Kasap
True,Indah bersih bagus deh,Pantai Kasap
False,Menyenangkan,Pantai Kasap
True,"tempat healing dengan suguhan pemandangan yang indah dan keren banget. menyediakan shuttle bus untuk pariwisata skala besar, persewaan tenda bagi pengunjung yang ingin camping, tidak ketinggalan mini cafe dengan suguhan menu enak dan harga terjangkau",Pantai Kasap
False,Pantai yang indah...ada buat ngecamp.juga,Pantai Kasap
False,"Raja ampatnya pacitan, untuk spot perlu naik lagi dan bayar retribusi",Pantai Kasap
True,Jalan menuju pantai Kasap ini lumayan berliku dan berkelok. Pas mau menuju pantai Kasap n bukit raja ampatnya jalan bentar dari tempat parkir. Ada bbrp homestay buat yang pengen menyaksikan sunset di Kasap.,Pantai Kasap
True,bikin nagih,Pantai Kasap
True,"Pantai Kasap ( Raja Ampat nya Pacitan) yang sangat istimewa..... View nya bagus, airnya jernih....",Pantai Kasap
True,"Inilah Raja Ampatnya Pacitan. Untuk dapet viewnya. Harus naik ke bukit yaaa gais. O iyaa, pas kita masuk TPR, nnti ada 2 obyek sekaligus. Ada sungai di deket parkiran motor dan satunya ya pantai itu sendiri. Untuk naik di atas bukit kita cukup bayar 3k aja. Wess puas puasin fotonya.",Pantai Kasap
True,Bagus,Pantai Kasap
True,Destinasi wisata yang wajib dikunjungi kalau main ke pacitan.. Gak bakal nyesel deh  😉,Pantai Kasap
True,"Pantai unik yang berada di Pacitan ini memiliki keunikan tersendiri yaitu, pasir yang putih dan halus, ombak yang sangat besar, serta gugusan karang yang tersebar dan katanya mirip Raja Ampat versi Pacitan.

Harga tiket masuknya 10 ribu rupiah/orang. Dan untuk naik ke atas, spot foto sekitar 3 ribu rupiah/orang. Disekitaran sudah terdapat banyak warung penjual makanan dan minuman serta toilet.",Pantai Kasap
True,Oke lahh,Pantai Kasap
True,The best,Pantai Kasap
False,Pas Sore2 kesini bgus bgt raja ampat nya pacitan 😊😊,Pantai Kasap
True,Pemandangan laut yang bagus,Pantai Kasap
True,Lumayan buat camping,Pantai Kasap
False,Jarak tempuh tempuh jkt-Pacitan ke bayar sama pemandangan yg indah,Pantai Kasap
False,Raja Ampat-nya Jawa Timur ❤,Pantai Kasap
True,"Pemandangan alam yang indah👍
Ada spot buat foto-foto cantik di sini",Pantai Kasap
False,Menyenangkan puas sekali,Pantai Kasap
True,"Vibesnya bangus banget buat foto"".",Pantai Kasap
True,"spot foto yang paling sebentar, rame ngantri",Pantai Kasap
True,Siip,Pantai Kasap
